# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
1.988646425867500156e+01,1.237854847100410005e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.117499999999999716e+01,4.980555556000000550e+00,3.691390574420000092e+01,1.000000000000000000e+00,3.188138174254407861e-03,3.427344919975010953e+02,1.243272053428337243e+00,8.749931600788835029e-02
2.170907248764400066e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.261666667000000075e+01,1.260092593000000072e+01,2.328570213920000143e+01,0.000000000000000000e+00,2.025161363499594289e-03,6.872019483038718590e+02,1.166248429674733078e+00,9.589893604747196099e-02
2.228524367307069909e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.261666667000000075e+01,1.260092593000000072e+01,2.328570213920000143e+01,0.000000000000000000e+00,3.351419894076809996e-03,6.917276301844322006e+02,1.565531474166840242e+00,2.829193202424076237e-01
2.109400101703020169e+01,4.186571855526729991e+01,4.048846369000000323e+01,1.965099136000000044e+02,9.866666666999999791e+01,8.471759259000000597e+00,5.053942606420000061e+01,1.000000000000000000e+00,3.120874168752915331e-03,6.235314881598560532e+02,1.368764898487480064e+00,2.339099693625845966e-01
2.249955588298639952e+01,3.366755657501470012e+01,2.057361176000000000e+02,4.031467400999999739e+01,5.624166667000000075e+01,-3.340740741000000291e+00,4.482964106420000405e+01,1.000000000000000000e+00,2.511708593220739541e-03,4.946463301214581065e+02,1.479405564137819873e+00,2.216231788111096002e-01
2.361972745183259903e+01,2.218321987407859908e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.695833333000000209e+01,-1.465277778000000142e+00,3.778346655080000005e+01,1.000000000000000000e+00,4.405907739878772537e-03,9.608120377049306171e+02,1.498155789825151185e+00,6.495283742205516797e-02
2.275224585745390016e+01,2.656482900894980048e+01,3.205415201000000280e+01,3.250749370000000082e-01,7.224166667000000075e+01,4.319447550000000136e-01,4.032502999919999809e+01,1.000000000000000000e+00,3.216982488879388535e-03,9.464084172496154679e+02,1.466285972666017123e+00,1.896432746525341662e-01
2.069724840285120138e+01,9.167573376337900370e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.108333333000000209e+01,1.045138889000000049e+01,2.989023450830000073e+01,9.166666666999999658e-01,3.770362077985237384e-03,7.553852246785493207e+02,1.279555010495379008e+00,2.074932600841311037e-01
2.033047164258060135e+01,1.389004606682530074e+01,5.752381582999999132e+00,7.324327670000000401e-01,7.745000000000000284e+01,-2.020370370000000193e+00,3.777399711830000228e+01,1.000000000000000000e+00,4.708869052577426863e-03,6.103070778440498998e+02,1.311039750189650244e+00,1.029321486072002079e-01
1.984549688559139824e+01,3.808718589077899708e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.740000000000000568e+01,6.002777777999999564e+00,5.684740097249999735e+01,1.000000000000000000e+00,1.553997734828590008e-03,2.969219451332791664e+02,1.142361978710396242e+00,1.868261229756468522e-01
2.280236867528829947e+01,2.192623229433180043e+01,3.812751981000000256e+01,9.936870123999999294e+01,6.862500000000000000e+01,1.409259259000000153e+00,3.844133353750000026e+01,1.000000000000000000e+00,1.852672079947059042e-03,2.309456351406304293e+02,1.316587711206065547e+00,1.620800857636898462e-01
2.270650748915799966e+01,0.000000000000000000e+00,1.563568732999999895e+02,2.726822380999999851e+01,8.422499999999999432e+01,1.525462963000000016e+01,2.150646038420000039e+01,0.000000000000000000e+00,4.854050160588961778e-03,3.124929504738755099e+02,1.606740892362930273e+00,1.555921218127025857e-02
2.087264387488070128e+01,1.313548528295869922e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.419166667000000359e+01,1.070833333000000032e+01,2.974434869579999940e+01,1.000000000000000000e+00,2.615663267023798748e-03,9.039064238561555840e+02,1.516247440060730423e+00,2.749208736563168998e-01
2.102895580596669944e+01,3.861236415617339901e+01,2.460342911000000043e+01,9.623400487999999697e+00,8.130833332999999641e+01,-1.828240740999999892e+00,6.574675249919999942e+01,1.000000000000000000e+00,4.846773659474893498e-03,5.757175462415924585e+02,1.206365627398196416e+00,1.371235217465543998e-01
2.113123494033460048e+01,4.872485216371550187e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.616666666999999791e+01,4.134259259999999991e-01,2.937357544749999860e+01,1.000000000000000000e+00,4.230354047994820330e-03,6.673948740497589824e+02,1.149506881582678108e+00,1.904301576465178836e-01
2.111416136207200012e+01,2.158721340050999871e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.740000000000000568e+01,2.118981481000000056e+00,3.582768033330000179e+01,1.000000000000000000e+00,1.567973499795929319e-03,7.925069141062398330e+02,1.436185018555170334e+00,2.407490452948076454e-01
2.251246767411329941e+01,0.000000000000000000e+00,1.059732039000000157e+02,1.757011145000000107e+00,6.586666667000000075e+01,1.636944443999999876e+01,2.859050833330000074e+01,0.000000000000000000e+00,3.716534154701862502e-03,3.633130147347299044e+02,1.448531062500721722e+00,8.536363965440936508e-02
2.090174727298949975e+01,4.244482212327960013e+01,1.881279646999999784e+02,7.924777792999999804e+01,5.710000000000000142e+01,-5.386574073999999435e+00,6.218284259170000183e+01,1.000000000000000000e+00,2.920896325255330564e-03,7.790140281459426888e+02,1.242185071633659543e+00,8.236308246755484619e-02
2.194478728917739829e+01,3.857149004634160150e+01,4.048846369000000323e+01,1.965099136000000044e+02,9.866666666999999791e+01,8.471759259000000597e+00,5.053942606420000061e+01,1.000000000000000000e+00,3.667660470385333219e-03,8.326443634527042832e+02,1.344981033874490750e+00,9.487620908632071748e-02
1.735750619930740157e+01,5.062568606737889887e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.405833332999999641e+01,3.353703703999999952e+00,2.160522363920000188e+01,1.000000000000000000e+00,2.079797831601540650e-03,2.396990434701755248e+02,1.160905987431990249e+00,5.653263469274560915e-02
2.176337447225660071e+01,1.928241938611240158e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.840000000000000568e+01,2.512037036999999806e+00,3.505293704999999704e+01,1.000000000000000000e+00,3.011370173799968533e-03,3.828021908253442689e+02,1.563343703657126715e+00,8.971546212490258410e-02
2.111481048467960164e+01,4.546321066772159725e+01,8.655716590000001531e+01,6.742884412000000793e+02,6.980833332999999641e+01,-6.410185184999999564e+00,5.221852120249999984e+01,1.000000000000000000e+00,2.772013107394531023e-03,9.423638355271089040e+02,1.380585203587330501e+00,1.640895294243233105e-01
2.348369902832829936e+01,2.864207565018779889e+01,2.242545959000000266e+02,5.016725526999999829e+01,5.808333333000000209e+01,-1.651388889000000137e+00,4.383625629670000023e+01,1.000000000000000000e+00,4.458664439250167692e-03,5.679876862271748905e+02,1.491336760251026128e+00,3.257412585136327393e-02
2.269336205058069922e+01,8.668344024086840705e+01,6.594234310000000221e+01,1.764527304000000019e+00,6.405833332999999641e+01,-4.253240740999999936e+00,6.545208865669999909e+01,1.000000000000000000e+00,1.934088313568629435e-03,3.287869091893903715e+02,1.571572137531349167e+00,1.444426779083072265e-01
2.101367291321709985e+01,3.482261442980860267e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.595000000000000284e+01,-2.384722221999999725e+00,6.052784550999999880e+01,1.000000000000000000e+00,3.971616373253205115e-03,8.507972317014980490e+02,1.191701401481943146e+00,3.047969168225339587e-02
2.021173284146420102e+01,1.743500511851379997e+01,3.014932100999999989e+02,1.675827185999999926e+02,5.085833333000000067e+01,-3.995370369999999838e+00,2.974181422079999848e+01,1.000000000000000000e+00,4.499762195844964410e-03,4.730491890103701280e+02,1.536526449766676405e+00,2.063040626991000381e-01
1.746539819354950041e+01,9.711585535983740414e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.761666667000000075e+01,2.027314814999999992e+00,3.074809323670000083e+01,1.000000000000000000e+00,4.417560721440082216e-03,4.522278657635135346e+02,1.276128413575490228e+00,6.908096855546322357e-02
2.242650110513509887e+01,3.639428082381299845e+01,1.735958421999999928e+02,6.238691397000000194e+00,7.179166666999999791e+01,-2.493518519000000211e+00,4.407675717669999926e+01,1.000000000000000000e+00,1.531284611953689055e-03,6.795028561248464030e+02,1.548888603744717374e+00,4.325475346705422164e-02
2.173033115163579865e+01,1.484778847023619974e+01,8.303303381000000627e+01,8.153872290000000467e-01,8.160833332999999357e+01,3.098148147999999935e+00,3.882170800920000175e+01,1.000000000000000000e+00,4.846773659474893498e-03,5.757175462415924585e+02,1.206365627398196416e+00,1.371235217465543998e-01
2.456580492147239880e+01,9.121714446205150040e+00,3.923204551999999978e+01,6.905997083999999404e+02,3.085833333000000067e+01,2.995370369999999838e+00,2.692174160579999764e+01,1.000000000000000000e+00,2.356144795910630058e-03,3.362914550797347033e+02,1.201342978217951663e+00,1.605309213677735131e-02
2.046567508537210145e+01,6.472324042562820345e+00,2.259267873999999949e+02,4.841709445000000187e+02,4.610000000000000142e+01,3.947222221999999725e+00,3.447725575829999656e+01,1.000000000000000000e+00,1.400856977980812889e-03,3.524017696641705015e+02,1.183812872622075574e+00,1.112106594822980660e-01
2.244726213462530140e+01,4.697649056834140247e+00,2.744201707999999940e+01,3.533253389999999605e-01,9.825833332999999925e+01,1.240046296000000048e+01,2.086673541669999921e+01,1.000000000000000000e+00,2.705006595503500061e-03,7.140982873441400898e+02,1.670230399877266070e+00,1.277722409037496121e-01
2.138453868260110013e+01,3.000632647482520099e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.946666666999999507e+01,-3.412037039999999966e-01,3.871712226919999722e+01,1.000000000000000000e+00,4.492966646989987774e-03,2.257068428716428343e+02,1.676657572365880089e+00,1.798881475046612555e-02
1.818089222693309992e+01,2.037657171150679858e+01,2.066952601000000129e+02,1.499644164999999987e+02,6.750833332999999925e+01,-3.842129630000000073e+00,4.352367037079999790e+01,1.000000000000000000e+00,2.121159456615248282e-03,8.456987504729480634e+02,1.245379072100847084e+00,1.938132478160974892e-01
2.366999652360259887e+01,4.932163366823339778e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,1.876249999999999929e+01,2.286571990750000083e+01,0.000000000000000000e+00,4.436088283893290310e-03,4.891355560089410233e+02,1.430242802164781502e+00,1.721830646805749265e-01
2.250413301545270173e+01,0.000000000000000000e+00,1.425295858000000067e+02,4.187119805999999755e+01,6.997499999999999432e+01,1.792592592999999823e+01,2.166643818500000052e+01,0.000000000000000000e+00,1.896481863329364803e-03,6.530254081359403244e+02,1.596078144324084125e+00,1.101935872527511490e-01
2.133877177554619919e+01,9.594482680149990728e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.657500000000000284e+01,-4.761111110999999951e+00,2.602780517080000067e+01,1.000000000000000000e+00,4.047036061234993154e-03,6.123538360916219290e+02,1.446562592415741921e+00,1.264505687341711537e-01
1.930379448371740025e+01,6.224065569837449630e+00,1.848307531999999753e+02,1.729473743000000070e+02,7.361666667000000075e+01,9.152777777999999032e+00,3.168791174920000131e+01,1.000000000000000000e+00,3.744688766127054948e-03,5.806793323229542239e+02,1.400921272516025162e+00,2.218030212695564218e-01
2.068948621051999837e+01,2.968849805279090148e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.285833332999999357e+01,-3.999537037000000073e+00,3.675767000999999823e+01,1.000000000000000000e+00,1.134505924263686915e-03,2.476334184606370741e+02,1.614110242168923959e+00,1.763488423387737369e-01
2.244963816943949908e+01,3.011237988071150085e+01,3.175736708000000021e+02,8.873422368999999321e+01,5.641666666999999791e+01,-4.041666670000000350e-01,4.176920976830000143e+01,1.000000000000000000e+00,2.432982096704852659e-03,4.790099240320593594e+02,1.556650084679933155e+00,1.523263590679505841e-01
2.184129805183469841e+01,1.726276139835389856e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271666667000000217e+01,6.322685186000000179e+00,3.317869167079999926e+01,1.000000000000000000e+00,2.824167797987782447e-03,4.058758884458640637e+02,1.597002058028601956e+00,2.639053073326949606e-01
2.020865415358110084e+01,3.439156483370370276e-01,8.549068220000000906e+01,5.812059087999999747e+02,2.595833332999999854e+01,8.696759259000000242e+00,2.051658055500000089e+01,1.000000000000000000e+00,4.255687009393358672e-03,5.493702702334533114e+02,1.428035967299972286e+00,2.061150746709764781e-01
2.191308167738920076e+01,9.271239394953029844e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.741666666999999791e+01,2.076851851999999887e+00,3.201893259250000057e+01,1.000000000000000000e+00,4.179868108572955092e-03,6.351317699966004966e+02,1.257874797332286132e+00,9.049919346397035380e-02
1.987207770253110084e+01,2.360565570377000100e+00,1.279480533000000122e+02,8.573297805999999355e+02,2.684166666999999862e+01,5.481018519000000033e+00,2.046273637420000213e+01,1.000000000000000000e+00,4.350835913381718295e-03,5.021992457399105092e+02,1.575963639531437366e+00,1.834330275545796585e-01
2.042238187400619864e+01,1.619860256586479963e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.778333332999999783e+01,1.907407410000000192e-01,3.282405578750000075e+01,1.000000000000000000e+00,1.647109245553838881e-03,7.265286215594138639e+02,1.394775325686451906e+00,2.118058582314687188e-01
2.130370716257160169e+01,5.465774187954109742e+00,2.209223289999999906e+02,8.370128214000000355e+01,8.600833332999999925e+01,1.408981482000000085e+01,3.199742076000000068e+01,5.833333333000000342e-01,3.861107608776899458e-03,9.876370413635643217e+02,1.161377277564017652e+00,2.604164703510176149e-01
1.637199271305609827e+01,5.361872468860690333e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.216666666999999791e+01,-5.910648147999999935e+00,3.572484257920000061e+01,1.000000000000000000e+00,2.904950149537445687e-03,3.459000597639321768e+02,1.591683661259200466e+00,1.804895251542102119e-01
2.312022265831399892e+01,0.000000000000000000e+00,1.145543285000000022e+00,5.712386422000000685e+00,7.206666667000000359e+01,1.658796295999999870e+01,2.398533305670000004e+01,0.000000000000000000e+00,2.636769704523195170e-03,4.167017811658172377e+02,1.622662233252380570e+00,1.692828453994610627e-01
2.255614779994549934e+01,5.754436789434590338e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.623333332999999357e+01,-9.525462962999998950e+00,6.432570564830000137e+01,1.000000000000000000e+00,3.832248425692501119e-03,2.337631545723137663e+02,1.424877227953950332e+00,2.629081939068249052e-01
2.088562032119889977e+01,1.295557659629839975e+01,4.661091236000000038e+01,7.006527493000000106e+01,9.679999999999999716e+01,9.943055553999998963e+00,3.277606505749999855e+01,1.000000000000000000e+00,3.798540430933049217e-03,9.329271578197684676e+02,1.251855506955083186e+00,1.852382751398718441e-01
1.874671767741899941e+01,1.207882823408630024e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.379166666999999791e+01,1.874074074000000145e+00,3.040469793079999761e+01,1.000000000000000000e+00,4.766283376614981020e-03,4.282799162420939183e+02,1.413971493381880995e+00,3.398113576125512403e-02
2.102208184790779910e+01,0.000000000000000000e+00,1.936321863999999948e+02,6.955032202000001007e+02,5.085000000000000142e+01,1.450462963000000016e+01,2.356135253749999947e+01,0.000000000000000000e+00,3.251874688195390949e-03,2.703133223301571775e+02,1.240540744171462206e+00,2.734397136972643305e-01
2.296555361123380123e+01,0.000000000000000000e+00,1.200782425000000018e+02,8.154904659000000038e+02,5.451666666999999933e+01,1.622685184999999919e+01,2.365642453670000123e+01,0.000000000000000000e+00,4.442522397879882651e-03,5.455246244365416715e+02,1.462927672596145090e+00,1.234595199655654091e-01
1.899151153429789929e+01,4.767857739083520130e+01,1.664234254999999862e+01,1.237933704000000024e+00,4.735000000000000142e+01,2.917592593000000178e+00,5.769103310250000050e+01,1.000000000000000000e+00,4.284385317355886291e-03,6.183462766457651014e+02,1.313602311034923531e+00,2.960985808933047636e-01
2.041066595412259943e+01,2.281302113735949888e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.915833333000000493e+01,1.039351852000000020e+00,3.817358243500000015e+01,1.000000000000000000e+00,4.643265026636788848e-03,2.207306639311987908e+02,1.642793179418043259e+00,2.483405274268948026e-01
2.244598188211960021e+01,2.999511915629519976e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.885833333000000067e+01,-2.624537037000000073e+00,3.812426726750000228e+01,1.000000000000000000e+00,1.518756680930412979e-03,9.861496451231035962e+02,1.648470147888595694e+00,1.726372644375614440e-01
2.255132277037300170e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.964999999999999858e+01,1.420972221999999974e+01,2.400319868920000133e+01,0.000000000000000000e+00,1.610287810713308294e-03,5.072074908894314831e+02,1.387033217170336119e+00,2.031784460183815866e-01
1.786939022242980002e+01,2.079353633695910020e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.552500000000000568e+01,-4.265277777999999742e+00,3.464298863500000181e+01,1.000000000000000000e+00,4.192541607993731032e-03,5.575855349147209381e+02,1.168772045008633409e+00,1.227486786180246175e-01
1.804464995147679929e+01,2.780769073896169985e+01,2.088071422999999882e+01,1.591946979999999956e-01,9.859166666999999507e+01,3.084722221999999903e+00,4.082817411999999990e+01,1.000000000000000000e+00,4.214837492535227804e-03,2.618001681921099362e+02,1.554546011873910061e+00,2.529041842848324118e-01
2.066237174964789958e+01,5.679395847750959625e+00,9.567705675999999926e+01,9.017307190000000139e-01,8.314166667000000643e+01,5.823148147999999580e+00,2.130249465580000034e+01,1.000000000000000000e+00,2.410868984183883734e-03,4.688278277131037157e+02,1.335639081427556052e+00,1.021902036341341830e-01
1.843257648706940088e+01,5.479006681470890072e+01,1.903660176999999898e+00,6.124185000000000878e-01,9.804166666999999791e+01,2.325000000000000178e+00,3.096899185079999839e+01,1.000000000000000000e+00,1.934088313568629435e-03,3.287869091893903715e+02,1.571572137531349167e+00,1.444426779083072265e-01
2.129909162448240068e+01,8.365004751265919580e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.499166667000000075e+01,1.113055555999999946e+01,3.042047677329999900e+01,1.000000000000000000e+00,3.408130994495622672e-03,8.569322525443425320e+02,1.332211347827509940e+00,2.572587927010658859e-01
2.303524686371819996e+01,5.715163747173239983e+01,1.207876902000000001e+02,2.440893344999999925e+01,6.757500000000000284e+01,-8.130092592000000451e+00,6.553308319500000323e+01,1.000000000000000000e+00,3.471523460772572671e-03,4.575430251066195524e+02,1.410954524508872820e+00,5.347503773207338412e-02
2.169738906889740093e+01,3.741925417167899948e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.912500000000000000e+01,5.998148147999999402e+00,1.907736133330000072e+01,1.000000000000000000e+00,4.886339631806308620e-03,2.223249921240226854e+02,1.519964972502881206e+00,1.590744268634946834e-01
1.693896163061030080e+01,2.167506506500469854e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.069166667000000359e+01,-1.203981480999999931e+01,4.906929282419999794e+01,1.000000000000000000e+00,3.331507870304522938e-03,6.627499920942633480e+02,1.228839712023203301e+00,2.908263113359556562e-01
2.132898874944670098e+01,1.740247108196080106e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.283333333000000209e+01,-2.906018518999999856e+00,2.975043048579999905e+01,1.000000000000000000e+00,1.658029236137629949e-03,3.671868875213640422e+02,1.488353596742550300e+00,1.141890228826274861e-02
2.089130457443630107e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.218333332999999641e+01,1.356990741000000078e+01,2.245476296249999848e+01,0.000000000000000000e+00,2.636769704523195170e-03,4.167017811658172377e+02,1.622662233252380570e+00,1.692828453994610627e-01
1.900489144807459851e+01,7.306548845580640261e+01,5.582174827000000050e+01,2.812150175000000019e+01,7.896666666999999507e+01,-3.869444445000000066e+00,6.084111786919999787e+01,1.000000000000000000e+00,2.710317998212594028e-03,5.420392821917571382e+02,1.609045265410323777e+00,2.971046738876080839e-01
1.829568375446989847e+01,2.532197254484119853e+01,2.015894601000000108e+01,1.061005737999999976e+00,9.928333333000000493e+01,1.218194444000000054e+01,4.538387036999999680e+01,1.000000000000000000e+00,1.130583448430549963e-03,5.222167856402792268e+02,1.139732713516237839e+00,2.386670687681820280e-01
2.115941713107870115e+01,1.184282785513179892e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.080833332999999996e+01,6.775000000000000355e+00,2.052071252420000036e+01,1.000000000000000000e+00,2.946796818200620328e-03,4.694223882614934382e+02,1.210734056028324845e+00,2.399946392077434709e-01
2.156006683983940064e+01,0.000000000000000000e+00,1.417805361000000062e+02,5.237395047999999775e+01,8.915833333000000493e+01,1.517870369999999802e+01,2.534704288000000005e+01,0.000000000000000000e+00,2.079797831601540650e-03,2.396990434701755248e+02,1.160905987431990249e+00,5.653263469274560915e-02
1.996196518605270143e+01,2.844949465920240073e+01,9.355392232999999891e+00,1.513601283000000031e+01,6.039166666999999933e+01,7.097222222000000080e+00,3.642959390250000240e+01,1.000000000000000000e+00,1.638410448303543026e-03,3.600932384042500871e+02,1.706002153086286999e+00,2.583439723781976727e-01
1.856351608066610126e+01,1.772449308455729877e+01,1.035724783000000002e+02,7.938713892999999189e+00,7.375833332999999925e+01,8.160185184999999564e+00,3.251158881919999999e+01,1.000000000000000000e+00,3.842912964318862586e-03,7.189611989058296331e+02,1.512900057398981701e+00,2.870268238371321279e-01
2.179526687513140004e+01,1.534200587826360085e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.896666666999999507e+01,1.657407409999999970e-01,3.341364468670000321e+01,1.000000000000000000e+00,3.842912964318862586e-03,7.189611989058296331e+02,1.512900057398981701e+00,2.870268238371321279e-01
1.696055620939320008e+01,2.111522295104530045e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.230833332999999641e+01,-1.174629630000000091e+01,4.716175287000000083e+01,1.000000000000000000e+00,2.946796818200620328e-03,4.694223882614934382e+02,1.210734056028324845e+00,2.399946392077434709e-01
1.783073332892179863e+01,2.143395228077620018e+01,7.395991886999999565e+01,1.124657250000000025e-01,9.422499999999999432e+01,5.851851852000000243e+00,2.985037889920000254e+01,1.000000000000000000e+00,2.824167797987782447e-03,4.058758884458640637e+02,1.597002058028601956e+00,2.639053073326949606e-01
2.156783950762550006e+01,1.058381244337410010e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.404999999999999716e+01,-2.243981481000000056e+00,3.488435630920000108e+01,1.000000000000000000e+00,4.984773294855060141e-03,3.184305630821503996e+02,1.280766098000922337e+00,7.332814202524759462e-02
1.919994619622929832e+01,1.327006514218479971e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.651666667000000643e+01,8.621296296000000581e+00,3.068442250500000057e+01,1.000000000000000000e+00,1.358731560304630125e-03,2.728069458114778172e+02,1.361486458868025329e+00,2.458181973462481018e-01
2.150283780331859873e+01,3.192449078656709904e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.348333332999999357e+01,6.939351852000000598e+00,2.156221687580000079e+01,1.000000000000000000e+00,3.502091702430740021e-03,4.920747048114934046e+02,1.711132012133297131e+00,1.291657029429929271e-01
2.052177047116959940e+01,2.951211778052349910e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.726666667000000643e+01,1.062175925999999926e+01,2.080065969999999709e+01,1.000000000000000000e+00,2.501662177015833398e-03,8.006601191546427572e+02,1.520604282697370913e+00,1.495353297773675538e-01
2.109087822839889981e+01,1.263696540898859944e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.261666667000000075e+01,1.016944443999999947e+01,3.355971294919999792e+01,1.000000000000000000e+00,1.249282613096864723e-03,6.694927664608771920e+02,1.171725518057593618e+00,2.267932498775534697e-02
