Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.21 04:20
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,64141.15,104.87,117.48
,Net Site Energy,64141.15,104.87,117.48
,Total Source Energy,229171.40,374.69,419.74
,Net Source Energy,229171.40,374.69,419.74


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,611.63
,Net Conditioned Building Area,545.99
,Unconditioned Building Area,65.64


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,58333.90,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,206.71,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2917.17,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,61.71,0.00,0.00,0.00,0.00,0.00
,Pumps,2621.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,5807.26,0.00,0.00,0.00,58333.90,0.00
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.38,0.00,0.00,0.00,0.00,0.00
,HVAC,4.91,0.00,0.00,0.00,106.84,0.00
,Other,5.34,0.00,0.00,0.00,0.00,0.00
,Total,10.64,0.00,0.00,0.00,106.84,0.00


Utility Use Per Total Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.34,0.00,0.00,0.00,0.00,0.00
,HVAC,4.39,0.00,0.00,0.00,95.38,0.00
,Other,4.77,0.00,0.00,0.00,0.00,0.00
,Total,9.49,0.00,0.00,0.00,95.38,0.00


Electric Loads Satisfied

,,Electricity [kWh],Percent Electricity [%]
,Fuel-Fired Power Generation,0.00,0.00
,High Temperature Geothermal*,0.00,0.00
,Photovoltaic Power,0.00,0.00
,Wind Power,0.00,0.00
,Net Decrease in On-Site Storage,0.00,0.00
,Total On-Site Electric Sources,0.00,0.00
,,,
,Electricity Coming From Utility,5807.26,100.00
,Surplus Electricity Going To Utility,0.00,0.00
,Net Electricity From Utility,5807.26,100.00
,,,
,Total On-Site and Utility Electric Sources,5807.26,100.00
,Total Electricity End Uses,5807.26,100.00


On-Site Thermal Sources

,,Heat [kWh],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,-
,Condensate Collection,0.00,-
,Groundwater Well,0.00,-
,Total On Site Water Sources,0.00,-
,-,-,-
,Initial Storage,0.00,-
,Final Storage,0.00,-
,Change in Storage,0.00,-
,-,-,-
,Water Supplied by Utility,0.00,-
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,0.00,-
,Total Water End Uses,0.00,-


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,0.55
,Tolerance for Zone Cooling Setpoint Not Met Time,0.55


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,122.00
,Time Setpoint Not Met During Occupied Cooling,1537.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,986.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.21 04:20
,RunPeriod,WHOLEYEAR
,Weather File,Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205
,Latitude [deg],40.35
,Longitude [deg],-79.9
,Elevation [m],380.00
,Time Zone,-5.0
,North Axis Angle [deg],15.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],2160.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],498.67,73.42,181.35,62.58,181.32
,Above Ground Wall Area [m2],498.67,73.42,181.35,62.58,181.32
,Window Opening Area [m2],212.42,30.30,79.90,26.41,75.81
,Gross Window-Wall Ratio [%],42.60,41.27,44.06,42.21,41.81
,Above Ground Window-Wall Ratio [%],42.60,41.27,44.06,42.21,41.81


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],363.12,53.46,132.06,45.57,132.03
,Above Ground Wall Area [m2],363.12,53.46,132.06,45.57,132.03
,Window Opening Area [m2],212.42,30.30,79.90,26.41,75.81
,Gross Window-Wall Ratio [%],58.50,56.68,60.51,57.96,57.42
,Above Ground Window-Wall Ratio [%],58.50,56.68,60.51,57.96,57.42


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],709.43
,Skylight Area [m2],51.88
,Skylight-Roof Ratio [%],7.31


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Gross Wall Area [m2],Window Glass Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,UNDERFLOOR_VOID_SPACE,611.63,No,No,685.02,1.00,135.55,0.00,,,
,ROOFS1,20.98,No,No,32.33,1.00,0.00,0.00,,,
,ROOFS2,0.15,No,No,32.33,1.00,0.00,0.00,,,
,ROOFS3,0.15,No,No,32.33,1.00,0.00,0.00,,,
,ROOFS0,0.15,No,No,31.75,1.00,0.00,0.00,,,
,ROOFS4,0.15,No,No,32.98,1.00,0.00,0.00,,,
,ROOFN0,5.19,No,No,60.94,1.00,0.00,20.57,,,
,ROOFN3,0.15,No,No,61.04,1.00,0.00,0.00,,,
,ROOFN1,15.19,No,No,60.94,1.00,0.00,12.34,,,
,ROOFN2,0.17,No,No,60.94,1.00,0.00,12.34,,,
,CORRINOR,19.30,No,Yes,106.11,1.00,0.00,0.00,18.0000,10.00,0.0000
,KITCHEN,35.95,Yes,Yes,383.92,1.00,0.00,0.00,18.0000,12.50,7.5000
,BAS,21.75,Yes,Yes,99.21,1.00,15.00,7.49,18.0000,,25.0000
,STAIRNCOM,57.70,Yes,Yes,173.10,1.00,36.57,16.91,18.0000,33.33,0.0000
,CORRISOU,46.34,No,Yes,139.02,1.00,0.00,0.00,18.0000,10.00,0.0000
,OFF-YUJIE,21.36,Yes,Yes,64.08,1.00,14.73,7.51,18.0000,7.12,25.0000
,OFF-BAPP,20.88,Yes,Yes,148.66,1.00,14.40,7.19,18.0000,10.44,7.5000
,OFF-WEILI,20.88,Yes,Yes,62.64,1.00,14.40,7.19,18.0000,10.44,7.5000
,OFF-ZHIANG,20.88,Yes,Yes,65.14,1.00,14.40,7.19,18.0000,20.88,25.0000
,OFF-NINA,20.45,Yes,Yes,58.83,1.00,26.10,13.33,18.0000,20.45,7.5000
,OFF-VOLKER,21.75,Yes,Yes,35.47,1.00,15.00,7.29,18.0000,21.75,7.5000
,OFF-ERICA,21.75,Yes,Yes,35.47,1.00,15.00,7.29,18.0000,21.75,7.5000
,OFF-JAMES,21.36,Yes,Yes,34.83,1.00,14.73,7.16,18.0000,21.36,7.5000
,OFF-VIVIAN,20.88,Yes,Yes,34.05,1.00,14.40,6.99,18.0000,20.88,7.5000
,OFF-CHENLU,20.88,Yes,Yes,34.05,1.00,14.40,6.99,18.0000,5.22,25.0000
,OFF-OMER,20.88,Yes,Yes,34.05,1.00,14.40,6.99,18.0000,20.88,7.5000
,SMALLCONF,20.45,Yes,Yes,71.73,1.00,26.10,12.34,18.0000,10.00,0.0000
,LARGECONF1,67.30,Yes,Yes,124.55,1.00,55.40,27.20,18.0136,5.00,7.5000
,OFF-ANNIE,21.73,Yes,Yes,142.77,1.00,28.07,13.34,18.0321,21.73,0.0000
,LARGECONF0,67.40,Yes,Yes,382.16,1.00,15.01,7.30,18.0000,5.00,7.5000
,OFF-SUREKHA,21.77,Yes,Yes,400.28,1.00,15.01,7.49,18.0000,21.77,7.5000
,Total,611.63,,,2630.13,,363.12,177.19,18.0026,10.17,7.8987
,Conditioned Total,545.99,,,2385.00,,363.12,177.19,18.0030,10.19,8.8482
,Unconditioned Total,719.54,,,1335.74,,135.55,45.25,1.6420,109.62,0.0000
,Not Part of Total,653.90,,,1090.62,,135.55,45.25,0.0000,,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],District Heating [W],Water [m3/s]
,Time of Peak,16-JAN-11:00,-,-,-,08-JAN-08:00,-
,Heating,0.00,0.00,0.00,0.00,103058.75,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,4831.02,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,28.57,0.00,0.00,0.00,0.00,0.00
,Pumps,1238.96,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,6098.56,0.00,0.00,0.00,103058.75,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],District Heating [W],Water [m3/s]
,Heating,General,0.00,0.00,0.00,0.00,103058.75,0.00
,Cooling,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#corriNor#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#kitchen#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#stairNcom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#corriSou#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#smallConf#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,ELECTRIC EQUIPMENT#kitchen#05,269.62,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#05,543.78,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#05,533.96,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#05,156.60,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#05,156.60,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#05,522.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#05,153.34,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#05,163.12,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#05,163.12,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#05,160.19,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#05,156.60,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#05,522.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#05,156.60,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#05,504.73,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#05,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#05,505.50,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#05,163.26,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,28.57,0.00,0.00,0.00,0.00,0.00
,Pumps,General,1238.96,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kWh],Source Natural Gas [kWh],Source Additional Fuel [kWh],Source District Cooling [kWh],Source District Heating [kWh]
,Heating,0.00,0.00,0.00,0.00,210779.82
,Cooling,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,654.66,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,9238.67,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,195.45,0.00,0.00,0.00,0.00
,Pumps,8302.80,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,18391.58,0.00,0.00,0.00,210779.82


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kWh/m2],Source Natural Gas [kWh/m2],Source Additional Fuel [kWh/m2],Source District Cooling [kWh/m2],Source District Heating [kWh/m2]
,Heating,0.00,0.00,0.00,0.00,386.05
,Cooling,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1.20,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,16.92,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,0.36,0.00,0.00,0.00,0.00
,Pumps,15.21,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,33.69,0.00,0.00,0.00,386.05


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kWh/m2],Source Natural Gas [kWh/m2],Source Additional Fuel [kWh/m2],Source District Cooling [kWh/m2],Source District Heating [kWh/m2]
,Heating,0.00,0.00,0.00,0.00,386.05
,Cooling,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1.20,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,16.92,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,0.36,0.00,0.00,0.00,0.00
,Pumps,15.21,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,33.69,0.00,0.00,0.00,386.05


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [C],Daily Temperature Range [deltaC],Humidity Value,Humidity Type,Wind Speed [m/s],Wind Direction
,SUMMER DESIGN DAY IN PITTSBURGH PA 99.6,32.20,9.80,22.40,Wetbulb [C],0.00,0.00
,WINTER DESIGN DAY IN PITTSBURGH PA 99.6,-14.70,0.00,-14.70,Wetbulb [C],11.20,0.00


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

